searched_zipcode,searched_lat,searched_lng,searched_address,searched_state,searched_city,searched_metro,latitude,longitude,distance,loc_name,loc_number,address,cuisines,delivery_time_raw,delivery_time,review_count,review_rating,RunDate,Specialty Items,Meal Types,Dietary Preferences
10003,40.7324733,-73.98738,"41 Cooper Square, 7 E 7th St, New York, NY 10003, USA",NY,New York,NY,40.6802328,-73.9591725,0.45550753,Ase Cafe,2500744,"999 Atlantic Ave, Brooklyn, NY 11238, USA",Seafood,22 - 32,27,0,0.0,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
11219,40.6310753,-73.9976946,"4701 15th Ave, Brooklyn, NY 11219, USA",NY,Brooklyn,NY,40.6802328,-73.9591725,0.45550753,Ase Cafe,2500744,"999 Atlantic Ave, Brooklyn, NY 11238, USA",Seafood,22 - 32,27,0,0.0,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
11216,40.6788319,-73.9506774,"300 Madison St, Brooklyn, NY 11216, USA",NY,Brooklyn,NY,40.6802328,-73.9591725,0.45550753,Ase Cafe,2500744,"999 Atlantic Ave, Brooklyn, NY 11238, USA",Seafood,22 - 32,27,0,0.0,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
11219,40.6310753,-73.9976946,"4701 15th Ave, Brooklyn, NY 11219, USA",NY,Brooklyn,NY,40.699655,-73.948632,1.442652972,Fames Chocolates,2048561,"Silver Spoon Animation, 630 Flushing Ave, Brooklyn, NY 11206, USA",Miscellaneous,47 - 57,52,5,4.6,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
11216,40.6788319,-73.9506774,"300 Madison St, Brooklyn, NY 11216, USA",NY,Brooklyn,NY,40.699655,-73.948632,1.442652972,Fames Chocolates,2048561,"Silver Spoon Animation, 630 Flushing Ave, Brooklyn, NY 11206, USA",Miscellaneous,47 - 57,52,5,4.6,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
10003,40.7324733,-73.98738,"41 Cooper Square, 7 E 7th St, New York, NY 10003, USA",NY,New York,NY,40.699655,-73.948632,1.442652972,Fames Chocolates,2048561,"Silver Spoon Animation, 630 Flushing Ave, Brooklyn, NY 11206, USA",Miscellaneous,47 - 57,52,5,4.6,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
11216,40.6788319,-73.9506774,"300 Madison St, Brooklyn, NY 11216, USA",NY,Brooklyn,NY,40.6830433,-73.9647875,0.79448905,Buka Nigerian Restaurant,727170,"Fulton St, Brooklyn, NY 11238, USA",Miscellaneous,26 - 36,31,1192,4.2,25/04/22 7:01,Miscellaneous,Appetizers|Miscellaneous,Miscellaneous
11219,40.6310753,-73.9976946,"4701 15th Ave, Brooklyn, NY 11219, USA",NY,Brooklyn,NY,40.6830433,-73.9647875,0.79448905,Buka Nigerian Restaurant,727170,"Fulton St, Brooklyn, NY 11238, USA",Miscellaneous,26 - 36,31,1192,4.2,25/04/22 7:01,Miscellaneous,Appetizers|Miscellaneous,Miscellaneous
10003,40.7324733,-73.98738,"41 Cooper Square, 7 E 7th St, New York, NY 10003, USA",NY,New York,NY,40.6830433,-73.9647875,0.79448905,Buka Nigerian Restaurant,727170,"Fulton St, Brooklyn, NY 11238, USA",Miscellaneous,26 - 36,31,1192,4.2,25/04/22 7:01,Miscellaneous,Appetizers|Miscellaneous,Miscellaneous
10003,40.7324733,-73.98738,"41 Cooper Square, 7 E 7th St, New York, NY 10003, USA",NY,New York,NY,40.677718,-73.962658,0.632442369,Hibiscus Flowershop,1670888,"604 Grand Ave, Brooklyn, NY 11238, USA",Miscellaneous,58 - 68,63,50,4.7,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
11219,40.6310753,-73.9976946,"4701 15th Ave, Brooklyn, NY 11219, USA",NY,Brooklyn,NY,40.677718,-73.962658,0.632442369,Hibiscus Flowershop,1670888,"604 Grand Ave, Brooklyn, NY 11238, USA",Miscellaneous,58 - 68,63,50,4.7,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
11216,40.6788319,-73.9506774,"300 Madison St, Brooklyn, NY 11216, USA",NY,Brooklyn,NY,40.677718,-73.962658,0.632442369,Hibiscus Flowershop,1670888,"604 Grand Ave, Brooklyn, NY 11238, USA",Miscellaneous,58 - 68,63,50,4.7,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
11219,40.6310753,-73.9976946,"4701 15th Ave, Brooklyn, NY 11219, USA",NY,Brooklyn,NY,40.677718,-73.962658,0.632442369,@flowers,23001059,"604 Grand Ave, Brooklyn, NY 11238, USA",Miscellaneous,58 - 68,63,4,5.0,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
11216,40.6788319,-73.9506774,"300 Madison St, Brooklyn, NY 11216, USA",NY,Brooklyn,NY,40.677718,-73.962658,0.632442369,@flowers,23001059,"604 Grand Ave, Brooklyn, NY 11238, USA",Miscellaneous,58 - 68,63,4,5.0,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
10003,40.7324733,-73.98738,"41 Cooper Square, 7 E 7th St, New York, NY 10003, USA",NY,New York,NY,40.677718,-73.962658,0.632442369,@flowers,23001059,"604 Grand Ave, Brooklyn, NY 11238, USA",Miscellaneous,58 - 68,63,4,5.0,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
11219,40.6310753,-73.9976946,"4701 15th Ave, Brooklyn, NY 11219, USA",NY,Brooklyn,NY,40.6723505,-73.9276696,1.286057721,Marson Garden,1842358,"1493 Park Pl, Brooklyn, NY 11213, USA",Miscellaneous,61 - 71,66,2,5.0,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
11216,40.6788319,-73.9506774,"300 Madison St, Brooklyn, NY 11216, USA",NY,Brooklyn,NY,40.6723505,-73.9276696,1.286057721,Marson Garden,1842358,"1493 Park Pl, Brooklyn, NY 11213, USA",Miscellaneous,61 - 71,66,2,5.0,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
10003,40.7324733,-73.98738,"41 Cooper Square, 7 E 7th St, New York, NY 10003, USA",NY,New York,NY,40.6723505,-73.9276696,1.286057721,Marson Garden,1842358,"1493 Park Pl, Brooklyn, NY 11213, USA",Miscellaneous,61 - 71,66,2,5.0,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
11216,40.6788319,-73.9506774,"300 Madison St, Brooklyn, NY 11216, USA",NY,Brooklyn,NY,40.6775914,-73.9798252,1.529649439,Juliette Floral Design,2146923,"juliette floral design, 170 5th Ave, Brooklyn, NY 11217, USA",Miscellaneous,63 - 73,68,10,4.7,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
10003,40.7324733,-73.98738,"41 Cooper Square, 7 E 7th St, New York, NY 10003, USA",NY,New York,NY,40.6775914,-73.9798252,1.529649439,Juliette Floral Design,2146923,"juliette floral design, 170 5th Ave, Brooklyn, NY 11217, USA",Miscellaneous,63 - 73,68,10,4.7,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
11219,40.6310753,-73.9976946,"4701 15th Ave, Brooklyn, NY 11219, USA",NY,Brooklyn,NY,40.6775914,-73.9798252,1.529649439,Juliette Floral Design,2146923,"juliette floral design, 170 5th Ave, Brooklyn, NY 11217, USA",Miscellaneous,63 - 73,68,10,4.7,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
11216,40.6788319,-73.9506774,"300 Madison St, Brooklyn, NY 11216, USA",NY,Brooklyn,NY,40.6835787,-73.9353525,0.867331149,Miranda Trattoria Inc,1042510,"435 Halsey St, Brooklyn, NY 11233, USA",Miscellaneous,23 - 33,28,0,0.0,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
10003,40.7324733,-73.98738,"41 Cooper Square, 7 E 7th St, New York, NY 10003, USA",NY,New York,NY,40.6835787,-73.9353525,0.867331149,Miranda Trattoria Inc,1042510,"435 Halsey St, Brooklyn, NY 11233, USA",Miscellaneous,23 - 33,28,0,0.0,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
11219,40.6310753,-73.9976946,"4701 15th Ave, Brooklyn, NY 11219, USA",NY,Brooklyn,NY,40.6835787,-73.9353525,0.867331149,Miranda Trattoria Inc,1042510,"435 Halsey St, Brooklyn, NY 11233, USA",Miscellaneous,23 - 33,28,0,0.0,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
11216,40.6788319,-73.9506774,"300 Madison St, Brooklyn, NY 11216, USA",NY,Brooklyn,NY,40.6678289,-73.9421244,0.882477351,Holesomebagels,1768264,"333 Kingston Ave, Brooklyn, NY 11213, USA",Miscellaneous,23 - 33,28,0,0.0,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
